Time(TDT),Longitude,Latitude,Frank Longitude,Frank Latitude,Lon diff,Lat diff
18:00:00.0,"107°58'40.90"" W","05°56'35.91"" N","108°45'48.00"" W","20°19'12.00"" N",0.785305273567019,14.37669037455601
18:02:00.0,"107°27'51.55"" W","06°26'17.67"" N","108°14'06.00"" W","20°53'48.00"" N",0.7706807253159553,14.458426228604969
18:04:00.0,"106°57'19.99"" W","06°56'12.28"" N","107°42'24.00"" W","21°28'30.00"" N",0.7511125638969389,14.538255385263472
18:06:00.0,"106°27'04.04"" W","07°26'19.82"" N","107°10'42.00"" W","22°03'00.00"" N",0.727211287547803,14.611161765764784
18:08:00.0,"105°57'01.53"" W","07°56'40.36"" N","106°38'48.00"" W","22°37'30.00"" N",0.6962424005982797,14.680456525517119
18:10:00.0,"105°27'10.34"" W","08°27'14.00"" N","106°06'48.00"" W","23°11'54.00"" N",0.6604622247075724,14.744444806218457
18:12:00.0,"104°57'28.37"" W","08°58'00.87"" N","105°34'42.00"" W","23°46'18.00"" N",0.6204536067574935,14.804759116326286
18:14:00.0,"104°27'53.54"" W","09°29'01.11"" N","105°02'18.00"" W","24°20'36.00"" N",0.5734615508574308,14.859692674733562
18:16:00.0,"103°58'23.78"" W","10°00'14.88"" N","104°29'42.00"" W","24°54'48.00"" N",0.5217288001179554,14.909199385276258
18:18:00.0,"103°28'57.01"" W","10°31'42.38"" N","103°56'48.00"" W","25°29'06.00"" N",0.4641647259613393,14.956560442507481
18:20:00.0,"102°59'31.15"" W","11°03'23.82"" N","103°23'36.00"" W","26°03'18.00"" N",0.4013475487131615,14.998384235337586
18:22:00.0,"102°30'04.10"" W","11°35'19.42"" N","102°49'54.00"" W","26°37'24.00"" N",0.3305265796950465,15.034606214643706
18:24:00.0,"102°00'33.75"" W","12°07'29.44"" N","102°15'54.00"" W","27°11'30.00"" N",0.25562450867325026,15.0668220571185
18:26:00.0,"101°30'57.94"" W","12°39'54.17"" N","101°41'24.00"" W","27°45'36.00"" N",0.17390642798361,15.094954123775143
18:28:00.0,"101°01'14.46"" W","13°12'33.90"" N","101°06'18.00"" W","28°19'36.00"" N",0.08431561930498788,15.117251210974453
18:30:00.0,"100°31'21.09"" W","13°45'28.96"" N","100°30'42.00"" W","28°53'36.00"" N",0.010857202396550747,15.135288257909547
18:32:00.0,"100°01'15.50"" W","14°18'39.72"" N","99°54'30.00"" W","29°27'36.00"" N",0.11263782405750078,15.148966007155867
18:34:00.0,"99°30'55.32"" W","14°52'06.56"" N","99°17'30.00"" W","30°01'30.00"" N",0.22369894859440365,15.156510614153499
18:36:00.0,"99°00'18.09"" W","15°25'49.90"" N","98°39'54.00"" W","30°35'24.00"" N",0.340023716914601,15.159473200642426
18:38:00.0,"98°29'21.25"" W","15°59'50.17"" N","98°01'30.00"" W","31°09'18.00"" N",0.4642356285602318,15.157729346096525
18:40:00.0,"97°58'02.14"" W","16°34'07.88"" N","97°22'12.00"" W","31°43'12.00"" N",0.5972614788458941,15.151145176731017
18:42:00.0,"97°26'17.98"" W","17°08'43.52"" N","96°42'00.00"" W","32°17'00.00"" N",0.7383272561063166,15.137910043651551
18:44:00.0,"96°54'05.83"" W","17°43'37.67"" N","96°00'48.00"" W","32°50'48.00"" N",0.8882869333800727,15.119535780122746
18:46:00.0,"96°21'22.62"" W","18°18'50.92"" N","95°18'36.00"" W","33°24'36.00"" N",1.0462840774500393,15.095855859362835
18:48:00.0,"95°48'05.09"" W","18°54'23.91"" N","94°35'12.00"" W","33°58'18.00"" N",1.214746184131144,15.065024438642581
18:50:00.0,"95°14'09.76"" W","19°30'17.35"" N","93°50'42.00"" W","34°32'00.00"" N",1.3910449647094367,15.02851527267763
18:52:00.0,"94°39'32.96"" W","20°06'31.97"" N","93°04'48.00"" W","35°05'36.00"" N",1.5791557869643214,14.984453809227919
18:54:00.0,"94°04'10.74"" W","20°43'08.58"" N","92°17'36.00"" W","35°39'12.00"" N",1.7763161141206325,14.934282442284395
18:56:00.0,"93°27'58.86"" W","21°20'08.07"" N","91°28'54.00"" W","36°12'48.00"" N",1.98468275155615,14.87775889301438
